title,url,image,description
Lace Cutout Sweetheart Mini Dress,https://www.forever21.com//us/2001272707.html?dwvar_2001272707_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw50b7d3cd/1_front_750/01272707-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sultry lace cutout sweetheart mini dress with sheer lace long sleeves and delicate scalloped edges, finished with a tie detail at the chest for added allure."
Strapless Fit &amp; Flare Midi Dress,https://www.forever21.com//us/2001273309.html?dwvar_2001273309_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw1dcf25a1/1_front_750/01273309-01.jpg?sw=300&amp;sh=450,"The individual is wearing a strapless fit & flare midi dress in a crisp white hue, featuring a fitted bodice that elegantly transitions into a softly pleated skirt, creating a timeless and graceful silhouette."
Dip-Dye Mini Tank Dress,https://www.forever21.com//us/2001262705.html?dwvar_2001262705_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw3064e629/1_front_750/01262705-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic sleeveless Dip-Dye Mini Tank Dress with a gradient transition from a light mustard yellow at the top to a moss green at the bottom, framed by a subtle ribbed trim."
Strapless Layered Denim Mini Dress,https://www.forever21.com//us/2001261214.html?dwvar_2001261214_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw921ca395/1_front_750/01261214-01.jpg?sw=300&amp;sh=450,The individual is wearing a strapless layered denim mini dress with a fitted bodice and ruffled tiers that give a playful and stylish vibe.
Eyelet Tube Top &amp; Maxi Skirt Set,https://www.forever21.com//us/2001262230.html?dwvar_2001262230_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw198ce7fb/1_front_750/01262230-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic white eyelet tube top and coordinating maxi skirt set that exudes a breezy, summer-ready vibe."
Square-Cut Mini Tank Dress,https://www.forever21.com//us/2001261142.html?dwvar_2001261142_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwd1bd86f9/1_front_750/01261142-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sleek, square-cut mini tank dress with a straight neckline and a figure-hugging silhouette in classic black."
Floral Puff-Sleeve Babydoll Dress,https://www.forever21.com//us/2001272701.html?dwvar_2001272701_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw0f9ca580/1_front_750/01272701-01.jpg?sw=300&amp;sh=450,"The individual is wearing a charming blue and white floral puff-sleeve babydoll dress with a flattering sweetheart neckline and a flowy skirt that falls above the knee, exuding a fresh and youthful look perfect for spring or summer."
Sheer Lace Lingerie Maxi Slip Dress,https://www.forever21.com//us/2001249391.html?dwvar_2001249391_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwccec0034/1_front_750/01249391-02.jpg?sw=300&amp;sh=450,The individual is wearing a vibrant pink sheer lace lingerie maxi slip dress with a figure-hugging silhouette.
Floral Print Cutout Maxi Dress,https://www.forever21.com//us/2001262000.html?dwvar_2001262000_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw895324b3/1_front_750/01262000-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sleeveless white maxi dress with a delicate floral print, featuring a thigh-high slit and a subtle cutout detail under the bustline."
Denim Fit &amp; Flare Mini Dress,https://www.forever21.com//us/2000489704.html?dwvar_2000489704_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwe25f87d4/1_front_750/00489704-01.jpg?sw=300&amp;sh=450,The individual is wearing a denim fit & flare mini dress with a buttoned front and ruffled hemline that adds a playful touch to the classic denim look.
Lace-Trim Satin Lingerie Slip Dress,https://www.forever21.com//us/2001272849.html?dwvar_2001272849_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw3d2893d2/1_front_750/01272849-01.jpg?sw=300&amp;sh=450,The individual is wearing a sage green satin lingerie slip dress that features delicate lace trim around the neckline and under the bust.
Poplin Button-Front Mini Dress,https://www.forever21.com//us/2001262157.html?dwvar_2001262157_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw5d9e2654/1_front_750/01262157-02.jpg?sw=300&amp;sh=450,The individual is wearing a chic white poplin button-front mini dress characterized by its voluminous puff sleeves and a tailored bodice that creates a flattering silhouette.
Crepe Floral Print Midi Dress,https://www.forever21.com//us/2001247813.html?dwvar_2001247813_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw0e291925/1_front_750/01247813-01.jpg?sw=300&amp;sh=450,"The individual is wearing a charming crepe floral print midi dress with a v-neckline, short flutter sleeves, and an asymmetrical ruffle hemline, complemented by strappy heeled sandals."
Contour Short-Sleeve Maxi Dress,https://www.forever21.com//us/2001263042.html?dwvar_2001263042_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwb8850207/1_front_750/01263042-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sleek black Contour Short-Sleeve Maxi Dress that hugs the silhouette gracefully, featuring a round neckline and a flared hemline for a timeless, elegant look."
Lace-Up Denim Mini Dress,https://www.forever21.com//us/2000473624.html?dwvar_2000473624_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwc16c38db/1_front_750/00473624-02.jpg?sw=300&amp;sh=450,"The individual is wearing a chic lace-up denim mini dress with short sleeves, a v-neckline, and front pockets, exuding a casual yet trendy vibe."
Chiffon Sweetheart Maxi Dress,https://www.forever21.com//us/2001272648.html?dwvar_2001272648_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw9b01c059/1_front_750/01272648-01.jpg?sw=300&amp;sh=450,"The individual is wearing a black chiffon sweetheart maxi dress with off-shoulder straps, featuring a fitted bodice and an elegant, flowing skirt."
Double-Breasted Blazer Mini Dress,https://www.forever21.com//us/2000497458.html?dwvar_2000497458_color=03,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw6a371b4b/1_front_750/00497458-03.jpg?sw=300&amp;sh=450,"The individual is wearing a chic white double-breasted blazer mini dress with sharp lapels, accented by symmetrical button detailing, and completed with a playful hemline."
Colorblock Crop Top &amp; Mini Skirt Set,https://www.forever21.com//us/2001262167.html?dwvar_2001262167_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwf1eb6083/1_front_750/01262167-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic and modern colorblock crop top and mini skirt set, featuring a bold contrast of black and white which offers a striking visual appeal."
Sheer Chiffon Ruffle Maxi Dress,https://www.forever21.com//us/2000478742.html?dwvar_2000478742_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw96992fc8/1_front_750/00478742-01.jpg?sw=300&amp;sh=450,"The individual is wearing a black sheer chiffon ruffle maxi dress featuring a ruffled neckline, sheer long sleeves with ruffle detailing at the cuffs, and a tiered ruffle hemline, styled with a contrasting pair of undergarments, acc"
Chiffon Self-Tie Babydoll Dress,https://www.forever21.com//us/2001272704.html?dwvar_2001272704_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw7121ad00/1_front_750/01272704-01.jpg?sw=300&amp;sh=450,"The individual is wearing a lightweight chiffon babydoll dress featuring a self-tie accent at the shoulders, a delicate checkered pattern, and a breezy silhouette, paired with mid-calf white western-style boots."
Chiffon Ditsy Floral Maxi Dress,https://www.forever21.com//us/2001272675.html?dwvar_2001272675_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw4bb822bc/1_front_750/01272675-02.jpg?sw=300&amp;sh=450,"The individual is wearing a sleeveless chiffon ditsy floral maxi dress featuring a delicate all-over print, a flattering V-neckline, and a front split, complemented with black ankle boots."
Strapless Bow Fit &amp; Flare Dress,https://www.forever21.com//us/2001262043.html?dwvar_2001262043_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw91a0940f/1_front_750/01262043-01.jpg?sw=300&amp;sh=450,The individual is wearing a chic strapless bow fit and flare dress with a textured fabric and an elegant scalloped hemline.
Netted Glitter Knit Combo Dress,https://www.forever21.com//us/2001286353.html?dwvar_2001286353_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw302f9297/1_front_750/01286353-01.jpg?sw=300&amp;sh=450,"The individual is wearing a long-sleeved, black netted glitter knit combo dress that extends to just below the knee, layered over a solid black underdress, paired with tall black boots."
Satin Ruffle-Strap Slip Dress,https://www.forever21.com//us/2001250450.html?dwvar_2001250450_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwcee3cb0d/1_front_750/01250450-01.jpg?sw=300&amp;sh=450,The individual is wearing a chic white satin ruffle-strap slip dress with a flattering V-neckline and a playful ruffled hem that adds a touch of femininity to the silhouette.
Chiffon Ruffle-Trim Mini Dress,https://www.forever21.com//us/2001272677.html?dwvar_2001272677_color=03,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw72bb382b/1_front_750/01272677-03.jpg?sw=300&amp;sh=450,"The individual is wearing a light yellow chiffon ruffle-trim mini dress with short puffed sleeves, a sweetheart neckline with a tie detail, and a subtly cinched waist giving way to a flared skirt silhouette."
Off-the-Shoulder Bodycon Maxi Dress,https://www.forever21.com//us/2001249460.html?dwvar_2001249460_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwb665bef0/1_front_750/01249460-02.jpg?sw=300&amp;sh=450,"The individual is wearing a chic periwinkle off-the-shoulder bodycon maxi dress with a sweetheart neckline and long sleeves, accented by elegant ruched detailing."
Floral Print Crisscross Maxi Dress,https://www.forever21.com//us/2001272700.html?dwvar_2001272700_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw16df7f38/1_front_750/01272700-01.jpg?sw=300&amp;sh=450,"The individual is wearing an elegant maxi dress with a vibrant floral print, crisscross straps on the back, and a form-flattering silhouette that gracefully drapes to the floor."
Tweed Cropped Jacket &amp; Skirt Set,https://www.forever21.com//us/2001249778.html?dwvar_2001249778_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw2844acf7/1_front_750/01249778-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic pink tweed cropped jacket with matching high-waisted skirt set, featuring a tailored collar, flap pockets, and silver button accents."
Floral Print Chiffon Maxi Dress,https://www.forever21.com//us/2001262045.html?dwvar_2001262045_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwc894d0c8/1_front_750/01262045-01.jpg?sw=300&amp;sh=450,"The individual is wearing a light and airy floral print chiffon maxi dress with a flowing silhouette, delicate spaghetti straps, and a tiered skirt construction that adds a romantic touch to the overall look."
Sleeveless Open-Back Maxi Dress,https://www.forever21.com//us/2001262389.html?dwvar_2001262389_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwbfc37a31/1_front_750/01262389-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic sleeveless open-back maxi dress in a sleek white color, featuring a high neckline and an elegant side slit that adds a hint of allure to the overall minimalist silhouette."
Contour One-Shoulder Midi Dress,https://www.forever21.com//us/2001262375.html?dwvar_2001262375_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwf24354cd/1_front_750/01262375-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sleek contour one-shoulder midi dress in black, featuring an asymmetrical neckline and a form-fitting silhouette that gracefully highlights the body's contours."
Smocked Puff-Sleeve Dress,https://www.forever21.com//us/2000477243.html?dwvar_2000477243_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwf04fd918/1_front_750/00477243-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic black smocked puff-sleeve dress featuring a square neckline, a fitted smocked bodice, and a tiered midi-length skirt, paired with elegant white strappy heels."
Tiered Striped Halter Maxi Dress,https://www.forever21.com//us/2001286350.html?dwvar_2001286350_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw6ac5bf8a/1_front_750/01286350-02.jpg?sw=300&amp;sh=450,"The individual is wearing a flowing tiered striped halter maxi dress featuring a blend of soft pastel vertical stripes, complemented by a flattering halter neckline and a full, breezy skirt that cascades to the floor."
Poplin Smocked Cami &amp; Maxi Skirt Set,https://www.forever21.com//us/2001286343.html?dwvar_2001286343_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw85609d22/1_front_750/01286343-01.jpg?sw=300&amp;sh=450,"The individual is wearing a white Poplin Smocked Cami top with thin straps and a matching Maxi Skirt set, featuring a comfortable and airy design ideal for a casual summer look."
Rosette Denim Bodycon Mini Dress,https://www.forever21.com//us/2001250109.html?dwvar_2001250109_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwe547f12b/1_front_750/01250109-01.jpg?sw=300&amp;sh=450,The individual is wearing a denim bodycon mini dress featuring unique rosette details on the straps that add a touch of elegance to the staple denim look.
Satin Cowl Back Maxi Slip Dress,https://www.forever21.com//us/2001272703.html?dwvar_2001272703_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw52601602/1_front_750/01272703-02.jpg?sw=300&amp;sh=450,"The individual is wearing a light green Satin Cowl Back Maxi Slip Dress with a delicate draped neckline, slim straps, and a flowing silhouette that elegantly skims the floor, paired with strappy heeled sandals."
Faux Leather Tube Midi Dress,https://www.forever21.com//us/2000474163.html?dwvar_2000474163_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwc6a3f054/1_front_750/00474163-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sleek faux leather tube midi dress with a figure-hugging silhouette and a flared hemline, complemented by strappy high heels."
Cutout Tube Top &amp; Cargo Pants Set,https://www.forever21.com//us/2001262193.html?dwvar_2001262193_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw279d2e77/1_front_750/01262193-01.jpg?sw=300&amp;sh=450,"The individual is wearing a coordinated set comprising a beige cutout tube top and matching cargo pants, accessorized with a white overshirt, strappy sandals, and a small tote bag, presenting a chic and modern silhouette."
Contour One-Shoulder Maxi Dress,https://www.forever21.com//us/2001249493.html?dwvar_2001249493_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwab8c010e/1_front_750/01249493-01.jpg?sw=300&amp;sh=450,"The individual is wearing a sleek contour one-shoulder maxi dress with a form-fitting silhouette that elegantly emphasizes the body's natural lines, complemented by a minimalist strap and a sophisticated floor-grazing hem."
Tiered Off-the-Shoulder Midi Dress,https://www.forever21.com//us/2001262035.html?dwvar_2001262035_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw31a1bed6/1_front_750/01262035-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic black tiered off-the-shoulder midi dress, complemented with billowy three-quarter sleeves and paired with elegant strappy sandals."
Poplin Mini Shirt Dress,https://www.forever21.com//us/2000491209.html?dwvar_2000491209_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwe31d819f/1_front_750/00491209-01.jpg?sw=300&amp;sh=450,"The individual is wearing a crisp white poplin mini shirt dress with a classic collar, short sleeves, and a button-down front, offering a casual yet chic look."
Tiered Poplin Cami Midi Dress,https://www.forever21.com//us/2001272692.html?dwvar_2001272692_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw2e0b06ef/1_front_750/01272692-01.jpg?sw=300&amp;sh=450,"The individual is wearing a chic black tiered poplin cami midi dress with a flattering square neckline and voluminous ruffled hem, paired with simple black strappy flats."
Satin Paisley Plunging V-Neck Mini Dress,https://www.forever21.com//us/2000495948.html?dwvar_2000495948_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwb587fb38/1_front_750/00495948-01.jpg?sw=300&amp;sh=450,"The individual is wearing a satin paisley plunging v-neck mini dress with a flowy silhouette and voluminous sleeves, cinched at the waist with a belt."
Tiered Chiffon Floral Maxi Dress,https://www.forever21.com//us/2001261526.html?dwvar_2001261526_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw0efb8e81/1_front_750/01261526-01.jpg?sw=300&amp;sh=450,"The individual is wearing a delicate, tiered chiffon maxi dress featuring a soft floral print, v-neckline, and adjustable spaghetti straps."
Ruffle-Trim Mesh Floral Mini Dress,https://www.forever21.com//us/2001262291.html?dwvar_2001262291_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwb4565f0d/1_front_750/01262291-01.jpg?sw=300&amp;sh=450,"The individual is wearing a ruffle-trim mesh floral mini dress that features delicate pastel embroidery, a fitted bodice with ruffled straps, and a flouncy, tiered skirt for a playful yet elegant aesthetic."
Textured Gradient Maxi Dress,https://www.forever21.com//us/2001262379.html?dwvar_2001262379_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwfd6bf454/1_front_750/01262379-02.jpg?sw=300&amp;sh=450,"The individual is wearing a chic, softly hued pink textured gradient maxi dress featuring a strapless neckline, pleated design, and fluid, floor-skimming silhouette paired with on-trend white boots."
Open-Knit Bell-Sleeve Sweater Dress,https://www.forever21.com//us/2000502166.html?dwvar_2000502166_color=03,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dwc5962a3b/1_front_750/00502166-03.jpg?sw=300&amp;sh=450,"The individual is wearing a chic black open-knit bell-sleeve sweater dress that features a distinctive pattern, paired elegantly with black ankle boots."
Tiered Ruffle-Trim Maxi Dress,https://www.forever21.com//us/2001272926.html?dwvar_2001272926_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw90bbc91b/1_front_750/01272926-01.jpg?sw=300&amp;sh=450,"The individual is wearing a flowing midi-length gown in a delicate teal hue, featuring romantic tiered ruffles along the hem and a cinched waist accented with a tie belt, all contributing to an elegantly whimsical look."
Ribbed Knit Racerback Bodycon Dress,https://www.forever21.com//us/2001249480.html?dwvar_2001249480_color=01,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw2239aa16/1_front_750/01249480-01.jpg?sw=300&amp;sh=450,The individual is wearing a sleek white ribbed knit racerback bodycon dress with a modest side slit.
Denim Button-Front Midi Dress,https://www.forever21.com//us/2001262202.html?dwvar_2001262202_color=02,https://www.forever21.com/dw/image/v2/BFKH_PRD/on/demandware.static/-/Sites-f21-master-catalog/default/dw682cc58e/1_front_750/01262202-02.jpg?sw=300&amp;sh=450,"The individual is wearing a chic sleeveless denim button-front midi dress with a square neckline and a figure-hugging silhouette, accented by a central row of buttons and a subtle seam detailing at the waist."
